,Brand Name,ProductName,Price,Expected_Delivery,Product_URL
23,Blueberry,"Blueberry D38 Trussrod Acoustic Guitar Kit with Bag,Belt, String set & Picks inbuilt (Blue)","4,295","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02055132SF64AM9MYQQ8&url=%2FKadence-6-strings-Acoustic-Guitar-Natural%2Fdp%2FB07JKYWGJN%2Fref%3Dsr_1_119_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-119-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
24,INTERN,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (Natural).","6,630","Monday, August 1",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00516253B233U4XIDVQM&url=%2FBlueberry-Acoustic-Guitar-inbuilt-Truss-rod%2Fdp%2FB08T8HW3K7%2Fref%3Dsr_1_120_sspa%3Fcrid%3D3QSC21Z4WT1KK%26keywords%3Dguitar%26qid%3D1658814139%26sprefix%3Dguitar%252Caps%252C475%26sr%3D8-120-spons%26psc%3D1&qualifier=1658814139&id=4265648412612096&widgetName=sp_mtf
25,ARCTIC,"ARCTIC Sky series 39"" Guitar (with Truss Rod) with Bag, 3 Picks, Strap & String Set. Standard Pack Red","2,895","Monday, August 1",https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YH8YQR1/ref=sr_1_121?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-121
26,INTERN,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistance, Durable Action, Natural tone & bright resonance. Black Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","4,499","Monday, August 1",https://www.amazon.in/ARCTIC-Guitar-Truss-String-Standard/dp/B08F43XYM9/ref=sr_1_122?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-122
27,Juarez,"Juarez Acoustic Guitar, [LEFT HANDED] 96.52 cm (38 Inch) Cutaway, 38CL/3TS with Bag, Strings, Pick and Strap, 3TS Sunburst","4,974","Tuesday, August 2",https://www.amazon.in/Acoustic-Humidity-resistance-resonance-Plectrums/dp/B09RQZ6HM2/ref=sr_1_123?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-123
28,Juarez,"Juarez Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, High Gloss Black","2,589","Monday, August 1",https://www.amazon.in/Acoustic-Cutaway-3TS-Strings-Sunburst/dp/B098BD1MHM/ref=sr_1_124?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-124
29,INTERN,"INTERN 41 inches Cutaway Shape Acoustic Guitar with truss rod. Includes plectrums. Premium Wooden durable built, Best tonal stability and bend resistance (Jamming Black).","2,639","Monday, August 1",https://www.amazon.in/Juarez-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Spruce/dp/B08KHR4BJZ/ref=sr_1_125?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-125
30,Vault,Vault ST1 Premium Electric Guitar - Metallic Blue,"6,649","Tuesday, August 2",https://www.amazon.in/Cutaway-Acoustic-plectrums-stability-resistance/dp/B09YH8LP53/ref=sr_1_126?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-126
31,Yamaha,"Yamaha Electric-Acoustic Guitar FSX80C Dreadnought With With Mexa Sponge Bag, Guitar Belt, Guitar Stand, String Set & Plectrums.(NT)","3,599","Monday, August 1",https://www.amazon.in/Vault-String-Electric-Guitar-Metallic/dp/B08F2JDPWR/ref=sr_1_127?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-127
32,JUAREZ,"JUAREZ 96.52 cm (38 Inch) Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, 3TS Sunburst","7,219","Tuesday, August 2",https://www.amazon.in/Yamaha-Electric-Acoustic-FSX80C-Dreadnought-Plectrums/dp/B09HSJ6GPQ/ref=sr_1_128?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-128
33,Pack,Pack of 2 Universal Guitar Stand by Hola! Music Fits Acoustic Classical Electric Bass Guitars Mandolins Banjos Ukuleles and Other Stringed Instruments,"14,499","Sunday, July 31",https://www.amazon.in/JUAREZ-Acoustic-Guitar-3TS-Sunburst/dp/B08FV1KHTT/ref=sr_1_129?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-129
34,DEVICE,DEVICE OF URBAN INFOTECH Tuning Peg Silver for Acoustic Guitar Parts Tuners Keys Semi-closed Guitar String Tuning Pegs Tuner Machine Heads Knobs Tuning Keys for Acoustic & Electric Guitar 3R+3L(6 PCS),"3,169","Tuesday, August 2",https://www.amazon.in/Universal-Acoustic-Classical-Mandolins-Instruments/dp/B08XBRNC7T/ref=sr_1_130?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-130
35,HRB,"HRB MUSICALS® 50 Pcs Guitar String Tool Kit Including 3 Guitar Strings SET, 1 Guitar Tuner, 15 Picks, 1 black Capo with Pins remover, 1 pick holder, 12 Guitar pins, 1 guitar Cutter and 1 Winder",999,"Tuesday, August 2",https://www.amazon.in/DEVICE-URBAN-INFOTECH-Acoustic-Semi-closed/dp/B08P1JS4DF/ref=sr_1_131?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-131
36,4-string,"4-string acoustic guitar learning kids toy, brown 18-Multi color",499,"Monday, August 1",https://www.amazon.in/MUSICALS%C2%AE-Guitar-Including-Strings-remover/dp/B082Q6C28F/ref=sr_1_132?crid=3QSC21Z4WT1KK&keywords=guitar&qid=1658814139&sprefix=guitar%2Caps%2C475&sr=8-132
